ID,Area,City,Restaurant Price,Avg Rating,Total Rating,Food Item,Food Type,Delivery Time,Review
1338,Suburb,Hyderabad,300,3.5,9181,Ramen,Vegetarian,30-40 min,Neither great nor bad.
1339,Suburb,Bangalore,500,4.5,3907,Dosa,Fast Food,30-40 min,Mediocre experience.
1340,Suburb,Mumbai,700,4.5,7091,Falafel Wrap,Vegetarian,20-30 min,Not as described.
1341,Business District,Hyderabad,300,3.5,2784,Chicken Caesar Salad,Gluten-Free,20-30 min,Worst experience ever.
1342,Business District,Ahmedabad,700,3.0,5925,Fish and Chips,Vegan,30-40 min,"Good, but nothing extraordinary."
1343,Residential Area,Kolkata,200,3.5,234,Spring Rolls,Gluten-Free,40-50 min,Absolutely loved it!
1344,City Center,Hyderabad,200,4.0,332,Salmon Teriyaki,Vegan,50-60 min,Late delivery ruined it.
1345,Residential Area,Ahmedabad,600,4.7,8108,Cold Coffee,Fast Food,40-50 min,Disappointed.
1346,Tech Park,Pune,700,5.0,2018,Pasta Alfredo,Healthy,50-60 min,Amazing taste and quick delivery.
1347,Business District,Mumbai,600,4.7,6253,Gulab Jamun,Gluten-Free,40-50 min,Highly recommended!
1348,Residential Area,Delhi,400,3.5,8288,Samosa,Vegan,40-50 min,Disappointed.
1349,Suburb,Delhi,800,4.0,3555,Bagel,Vegan,50-60 min,Superb packaging and presentation.
1350,Residential Area,Kolkata,200,4.0,8902,Bagel,Fast Food,20-30 min,Superb packaging and presentation.
1351,Suburb,Delhi,200,4.0,2248,Choco Lava Cake,Fast Food,50-60 min,Mediocre experience.
1352,Residential Area,Hyderabad,300,4.0,5231,Momos,Vegetarian,30-40 min,Best meal I've had in a while!
1353,Tech Park,Hyderabad,500,4.2,5500,Falafel Wrap,Vegan,40-50 min,Absolutely loved it!
1354,Business District,Chennai,200,4.0,7198,Spring Rolls,Gluten-Free,20-30 min,Nothing special but edible.
1355,Downtown,Bangalore,800,3.0,8655,Butter Chicken,Healthy,20-30 min,It was okay.
1356,Downtown,Hyderabad,300,4.7,3552,Momos,Healthy,20-30 min,Wouldn't order again.
1357,Old Town,Chennai,300,4.5,250,French Fries,Gluten-Free,30-40 min,Tasty and worth the price.
1358,Tech Park,Kolkata,300,4.7,6957,Bubble Tea,Healthy,50-60 min,Neither great nor bad.
1359,City Center,Kolkata,900,4.7,448,Paneer Butter Masala,Gluten-Free,40-50 min,Tasty and worth the price.
1360,Old Town,Bangalore,700,3.5,2332,Chow Mein,Vegan,30-40 min,"Good, but nothing extraordinary."
1361,Business District,Hyderabad,100,5.0,3318,Pasta Alfredo,Fast Food,30-40 min,Worst experience ever.
1362,Tech Park,Mumbai,900,4.5,3478,Pasta Alfredo,Non-Vegetarian,30-40 min,Perfectly cooked and well-seasoned.
1363,Downtown,Chennai,1000,4.5,7616,Pani Puri,Non-Vegetarian,20-30 min,A decent meal.
1364,Residential Area,Delhi,600,5.0,1508,Pav Bhaji,Non-Vegetarian,20-30 min,It was okay.
1365,Tech Park,Ahmedabad,400,3.0,9635,Mango Shake,Fast Food,50-60 min,Wouldn't order again.
1366,Downtown,Kolkata,300,3.5,6732,Pancakes,Non-Vegetarian,40-50 min,Best meal I've had in a while!
1367,Downtown,Ahmedabad,800,4.5,9048,Burrito,Vegetarian,50-60 min,Cold and stale food.
1368,Downtown,Delhi,700,4.7,6199,Burrito,Fast Food,50-60 min,Amazing taste and quick delivery.
1369,Residential Area,Mumbai,500,4.7,900,Salmon Teriyaki,Fast Food,40-50 min,Delicious and fresh.
1370,City Center,Mumbai,700,4.0,6620,Gulab Jamun,Gluten-Free,50-60 min,Amazing taste and quick delivery.
1371,Business District,Mumbai,100,3.0,7918,Ramen,Healthy,50-60 min,Worst experience ever.
1372,Suburb,Mumbai,100,3.5,9582,Steak,Healthy,30-40 min,My new favorite dish!
1373,Residential Area,Ahmedabad,1000,3.0,4587,Pepperoni Pizza,Vegetarian,40-50 min,"Good, but nothing extraordinary."
1374,City Center,Delhi,700,3.5,2821,Fish and Chips,Fast Food,50-60 min,Neither great nor bad.
1375,Tech Park,Kolkata,1000,4.5,1137,Avocado Toast,Gluten-Free,30-40 min,It was okay.
1376,City Center,Ahmedabad,300,4.7,1516,Spring Rolls,Non-Vegetarian,40-50 min,Would order again if needed.
1377,Residential Area,Mumbai,700,3.5,4434,Salmon Teriyaki,Vegan,40-50 min,Terrible taste!
1378,Residential Area,Hyderabad,700,4.2,95,Samosa,Vegan,50-60 min,My new favorite dish!
1379,City Center,Mumbai,200,3.5,1114,Momos,Non-Vegetarian,20-30 min,Worst experience ever.
1380,Tech Park,Delhi,1000,4.2,7246,Mango Shake,Non-Vegetarian,50-60 min,"Good, but nothing extraordinary."
1381,Tech Park,Ahmedabad,300,4.2,9233,BBQ Ribs,Fast Food,30-40 min,Tasty and worth the price.
1382,Old Town,Ahmedabad,600,3.5,6849,Chow Mein,Gluten-Free,30-40 min,Amazing taste and quick delivery.
1383,Business District,Kolkata,100,4.2,5192,Pani Puri,Non-Vegetarian,50-60 min,Wouldn't order again.
1384,Downtown,Mumbai,500,4.5,6501,Idli Sambar,Healthy,20-30 min,Superb packaging and presentation.
1385,Business District,Chennai,100,5.0,7351,Spring Rolls,Non-Vegetarian,40-50 min,Tasty and worth the price.
1386,Residential Area,Mumbai,1000,3.0,1429,Idli Sambar,Fast Food,20-30 min,Tasty and worth the price.
1387,Downtown,Delhi,300,5.0,3734,Cheeseburger,Non-Vegetarian,20-30 min,Perfectly cooked and well-seasoned.
1388,Downtown,Kolkata,400,4.0,147,Smoothie Bowl,Fast Food,20-30 min,Absolutely loved it!
1389,Downtown,Hyderabad,800,5.0,3423,Falafel Wrap,Gluten-Free,30-40 min,Not as described.
1390,Old Town,Pune,500,4.7,4548,Spring Rolls,Gluten-Free,20-30 min,Terrible taste!
1391,City Center,Pune,300,4.0,9028,Bagel,Fast Food,20-30 min,Highly recommended!
1392,Suburb,Hyderabad,600,5.0,418,Cold Coffee,Non-Vegetarian,30-40 min,It was okay.
1393,Old Town,Ahmedabad,600,4.2,8907,Lassi,Fast Food,30-40 min,Highly recommended!
1394,Tech Park,Mumbai,600,4.7,3674,Bagel,Gluten-Free,20-30 min,Disappointed.
1395,Tech Park,Hyderabad,200,4.0,4588,Croissant,Non-Vegetarian,50-60 min,Superb packaging and presentation.
1396,Suburb,Mumbai,500,3.0,4806,Poke Bowl,Non-Vegetarian,20-30 min,Tasty and worth the price.
1397,Residential Area,Pune,800,4.2,7149,Pani Puri,Vegetarian,20-30 min,My new favorite dish!
1398,Tech Park,Chennai,300,4.5,171,Grilled Cheese,Vegan,30-40 min,Tasty and worth the price.
1399,Tech Park,Chennai,100,3.5,1428,Brownie,Non-Vegetarian,30-40 min,Neither great nor bad.
1400,Residential Area,Bangalore,800,4.7,1267,French Fries,Vegetarian,20-30 min,Average taste.
1401,Business District,Pune,600,4.5,983,Pav Bhaji,Healthy,20-30 min,Delicious and fresh.
1402,Residential Area,Mumbai,200,4.0,5328,Pho,Vegetarian,50-60 min,Neither great nor bad.
1403,City Center,Pune,700,5.0,2162,Butter Chicken,Vegan,40-50 min,Perfectly cooked and well-seasoned.
1404,Residential Area,Ahmedabad,800,4.7,5625,Waffles,Healthy,20-30 min,Would order again if needed.
1405,Old Town,Chennai,100,3.5,5653,Smoothie Bowl,Vegan,20-30 min,Absolutely loved it!
1406,Suburb,Delhi,700,3.5,3786,Veg Biryani,Healthy,50-60 min,Too spicy and oily.
1407,Business District,Pune,500,4.2,5219,Fish and Chips,Non-Vegetarian,30-40 min,Highly recommended!
1408,Business District,Mumbai,500,3.5,5544,Butter Chicken,Vegetarian,40-50 min,Standard quality.
1409,Suburb,Pune,700,3.5,4525,Dal Makhani,Vegetarian,40-50 min,Would order again if needed.
1410,City Center,Pune,200,5.0,311,Paneer Butter Masala,Vegan,20-30 min,Amazing taste and quick delivery.
1411,Downtown,Delhi,300,5.0,4728,Spring Rolls,Healthy,20-30 min,Cold and stale food.
1412,Old Town,Chennai,500,4.5,8512,Dal Makhani,Vegan,30-40 min,My new favorite dish!
1413,Residential Area,Mumbai,500,4.7,9647,BBQ Ribs,Vegetarian,40-50 min,Delicious and fresh.
1414,City Center,Delhi,500,4.0,348,Pancakes,Non-Vegetarian,30-40 min,Tasty and worth the price.
1415,Old Town,Chennai,700,4.5,6224,Pancakes,Healthy,40-50 min,Terrible taste!
1416,Tech Park,Pune,700,4.5,9766,Falafel Wrap,Healthy,50-60 min,Best meal I've had in a while!
1417,Downtown,Chennai,500,4.5,7887,Fish and Chips,Vegan,40-50 min,Perfectly cooked and well-seasoned.
1418,Old Town,Delhi,300,3.0,9772,Margherita Pizza,Non-Vegetarian,30-40 min,Absolutely loved it!
1419,Suburb,Ahmedabad,400,4.2,3510,Gulab Jamun,Gluten-Free,50-60 min,Tasty and worth the price.
1420,Business District,Delhi,400,5.0,6093,Paneer Butter Masala,Vegetarian,30-40 min,Superb packaging and presentation.
1421,Suburb,Mumbai,600,4.2,8394,Brownie,Non-Vegetarian,40-50 min,Terrible taste!
1422,Downtown,Bangalore,900,5.0,6441,Mango Shake,Non-Vegetarian,30-40 min,Superb packaging and presentation.
1423,City Center,Mumbai,700,3.0,7175,Momos,Healthy,50-60 min,Standard quality.
1424,Tech Park,Mumbai,1000,4.0,884,Pho,Vegetarian,30-40 min,My new favorite dish!
1425,Tech Park,Mumbai,1000,4.5,358,Brownie,Vegetarian,30-40 min,My new favorite dish!
1426,City Center,Bangalore,100,3.5,3526,Sushi,Gluten-Free,20-30 min,Standard quality.
1427,Old Town,Chennai,700,3.5,4234,Fruit Bowl,Non-Vegetarian,30-40 min,Perfectly cooked and well-seasoned.
1428,Residential Area,Hyderabad,400,3.0,8477,Chicken Caesar Salad,Gluten-Free,40-50 min,Best meal I've had in a while!
1429,Business District,Chennai,600,4.2,7551,Mango Shake,Non-Vegetarian,50-60 min,Superb packaging and presentation.
1430,Suburb,Bangalore,900,3.5,8799,Pepperoni Pizza,Vegan,30-40 min,Highly recommended!
1431,Tech Park,Bangalore,500,4.2,6387,Salmon Teriyaki,Non-Vegetarian,40-50 min,Nothing special but edible.
1432,City Center,Chennai,700,4.7,2684,Ice Cream Sundae,Non-Vegetarian,30-40 min,My new favorite dish!
1433,Old Town,Kolkata,900,5.0,4614,Ice Cream Sundae,Vegan,50-60 min,Best meal I've had in a while!
1434,Tech Park,Kolkata,700,3.0,7590,Falafel Wrap,Vegan,40-50 min,Superb packaging and presentation.
1435,Business District,Mumbai,300,4.7,4218,Pani Puri,Vegan,20-30 min,Average taste.
1436,Downtown,Delhi,100,4.0,1021,Lassi,Fast Food,50-60 min,Disappointed.
1437,Suburb,Delhi,1000,4.5,7213,Shawarma,Fast Food,30-40 min,My new favorite dish!
1438,Suburb,Bangalore,500,3.5,6875,Spring Rolls,Fast Food,40-50 min,Superb packaging and presentation.
1439,Downtown,Ahmedabad,800,4.0,3276,Fish and Chips,Fast Food,40-50 min,Average taste.
1440,Downtown,Bangalore,600,5.0,6525,Chicken Biryani,Fast Food,50-60 min,Would order again if needed.
1441,Tech Park,Chennai,600,3.5,357,Dal Makhani,Healthy,50-60 min,Nothing special but edible.
1442,Tech Park,Kolkata,400,4.7,893,Croissant,Healthy,50-60 min,Best meal I've had in a while!
1443,Old Town,Delhi,1000,4.2,7862,Tacos,Gluten-Free,50-60 min,Absolutely loved it!
1444,Downtown,Hyderabad,800,3.5,8911,Sushi,Fast Food,40-50 min,Superb packaging and presentation.
1445,Business District,Chennai,100,4.2,968,Sushi,Vegan,20-30 min,Perfectly cooked and well-seasoned.
1446,Business District,Delhi,800,3.0,542,Fruit Bowl,Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
1447,Old Town,Ahmedabad,400,4.7,9854,Ramen,Vegan,20-30 min,Cold and stale food.
1448,Tech Park,Pune,400,3.0,5464,Poke Bowl,Vegan,50-60 min,Best meal I've had in a while!
1449,City Center,Kolkata,700,5.0,7155,Chicken Caesar Salad,Non-Vegetarian,20-30 min,Cold and stale food.
1450,Suburb,Mumbai,200,5.0,9643,Pasta Alfredo,Healthy,30-40 min,Late delivery ruined it.
1451,Suburb,Kolkata,200,5.0,8679,Bagel,Non-Vegetarian,40-50 min,A decent meal.
1452,Residential Area,Bangalore,400,4.2,2798,Cold Coffee,Healthy,50-60 min,Mediocre experience.
1453,Downtown,Kolkata,900,4.2,7613,Spring Rolls,Non-Vegetarian,50-60 min,Tasty and worth the price.
1454,Tech Park,Mumbai,400,4.0,7604,Burrito,Vegetarian,40-50 min,Absolutely loved it!
1455,City Center,Mumbai,100,4.2,3585,Chicken Wings,Vegetarian,50-60 min,Tasty and worth the price.
1456,Residential Area,Ahmedabad,900,4.0,7723,Idli Sambar,Vegetarian,40-50 min,Highly recommended!
1457,Downtown,Kolkata,700,4.5,506,Steak,Vegetarian,50-60 min,Neither great nor bad.
1458,Downtown,Chennai,400,3.5,2988,Fish and Chips,Gluten-Free,50-60 min,My new favorite dish!
1459,Tech Park,Chennai,100,3.0,590,Cold Coffee,Gluten-Free,20-30 min,Not as described.
1460,Downtown,Delhi,100,3.5,6085,Bubble Tea,Fast Food,20-30 min,My new favorite dish!
1461,Residential Area,Ahmedabad,100,4.7,9518,Avocado Toast,Vegan,50-60 min,Mediocre experience.
1462,City Center,Bangalore,300,3.0,1310,Pav Bhaji,Vegetarian,20-30 min,Late delivery ruined it.
1463,City Center,Chennai,300,4.2,2657,Pho,Gluten-Free,20-30 min,Neither great nor bad.
1464,Old Town,Pune,1000,4.7,5567,Cheeseburger,Non-Vegetarian,50-60 min,Too spicy and oily.
1465,Downtown,Hyderabad,1000,4.7,1653,Paneer Butter Masala,Non-Vegetarian,30-40 min,Best meal I've had in a while!
1466,Suburb,Chennai,1000,4.5,2310,Chicken Biryani,Non-Vegetarian,30-40 min,Terrible taste!
1467,Downtown,Bangalore,900,4.0,3704,Bagel,Non-Vegetarian,30-40 min,Not worth the price.
1468,Suburb,Hyderabad,100,3.0,1594,Idli Sambar,Vegetarian,20-30 min,Not worth the price.
1469,Tech Park,Chennai,1000,3.0,4956,Fish and Chips,Healthy,40-50 min,Amazing taste and quick delivery.
1470,Residential Area,Bangalore,200,4.0,1479,Chicken Biryani,Vegan,40-50 min,Tasty and worth the price.
1471,Old Town,Mumbai,600,3.0,7435,Chow Mein,Vegetarian,50-60 min,Terrible taste!
1472,Suburb,Chennai,100,4.5,8614,Burrito,Healthy,40-50 min,Tasty and worth the price.
1473,Tech Park,Kolkata,200,4.2,4810,Gulab Jamun,Fast Food,20-30 min,Not as described.
1474,Business District,Bangalore,1000,4.7,6291,Bubble Tea,Non-Vegetarian,30-40 min,Tasty and worth the price.
1475,Downtown,Pune,700,4.7,6046,Paneer Butter Masala,Vegan,20-30 min,Too spicy and oily.
1476,City Center,Kolkata,700,3.0,2867,Tacos,Gluten-Free,30-40 min,Mediocre experience.
1477,Tech Park,Kolkata,500,3.0,1997,Pancakes,Non-Vegetarian,30-40 min,Superb packaging and presentation.
1478,Tech Park,Pune,900,4.7,1700,Smoothie Bowl,Vegetarian,20-30 min,Best meal I've had in a while!
1479,Suburb,Mumbai,700,4.0,1279,Veg Biryani,Fast Food,50-60 min,Terrible taste!
1480,Suburb,Bangalore,800,3.0,6671,Tacos,Gluten-Free,50-60 min,Highly recommended!
1481,Residential Area,Hyderabad,300,5.0,783,Ramen,Vegan,30-40 min,Wouldn't order again.
1482,Business District,Bangalore,700,3.0,1238,Croissant,Gluten-Free,30-40 min,Perfectly cooked and well-seasoned.
1483,Downtown,Bangalore,100,5.0,773,Butter Chicken,Vegan,30-40 min,My new favorite dish!
1484,Business District,Bangalore,600,4.0,2408,Butter Chicken,Vegetarian,50-60 min,Best meal I've had in a while!
1485,Tech Park,Hyderabad,300,3.5,7327,Steak,Fast Food,50-60 min,Late delivery ruined it.
1486,Business District,Delhi,500,4.0,9713,Veg Biryani,Vegetarian,40-50 min,Worst experience ever.
1487,Old Town,Mumbai,1000,4.7,4193,Croissant,Gluten-Free,50-60 min,Amazing taste and quick delivery.
1488,Tech Park,Bangalore,200,5.0,2840,Shawarma,Gluten-Free,50-60 min,Highly recommended!
1489,Business District,Ahmedabad,300,3.5,3369,Steak,Vegan,20-30 min,Too spicy and oily.
1490,City Center,Pune,400,4.5,278,Burrito,Vegetarian,40-50 min,Absolutely loved it!
1491,City Center,Pune,900,3.0,5306,Bagel,Non-Vegetarian,40-50 min,Nothing special but edible.
1492,Business District,Pune,400,3.5,7505,Choco Lava Cake,Vegetarian,40-50 min,A decent meal.
1493,Old Town,Ahmedabad,300,4.7,3247,Pani Puri,Fast Food,30-40 min,Highly recommended!
1494,Suburb,Kolkata,700,3.5,951,Pepperoni Pizza,Healthy,40-50 min,It was okay.
1495,Suburb,Mumbai,800,3.5,5069,Choco Lava Cake,Gluten-Free,20-30 min,Delicious and fresh.
1496,Old Town,Mumbai,500,5.0,1790,Dal Makhani,Fast Food,40-50 min,Superb packaging and presentation.
1497,Suburb,Kolkata,1000,3.5,5462,Chow Mein,Healthy,50-60 min,"Good, but nothing extraordinary."
1498,Old Town,Pune,200,5.0,1561,Fish and Chips,Non-Vegetarian,30-40 min,Average taste.
1499,Tech Park,Chennai,100,4.0,2198,Chicken Caesar Salad,Fast Food,30-40 min,Not as described.
1500,Business District,Hyderabad,100,4.5,3662,Tandoori Chicken,Healthy,20-30 min,Mediocre experience.
1501,Old Town,Pune,400,4.2,9608,Paneer Butter Masala,Healthy,40-50 min,Superb packaging and presentation.
1502,Residential Area,Kolkata,100,5.0,8979,Bagel,Healthy,50-60 min,Superb packaging and presentation.
1503,Old Town,Kolkata,1000,4.2,8889,Ice Cream Sundae,Vegetarian,30-40 min,It was okay.
1504,Downtown,Bangalore,600,5.0,1498,Burrito,Non-Vegetarian,40-50 min,Tasty and worth the price.
1505,City Center,Ahmedabad,700,4.0,3349,Ramen,Vegan,40-50 min,My new favorite dish!
1506,Residential Area,Chennai,500,4.5,4571,Pepperoni Pizza,Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
1507,Tech Park,Chennai,300,4.2,2270,Sushi,Fast Food,20-30 min,Not as described.
1508,Residential Area,Ahmedabad,200,5.0,8791,Tandoori Chicken,Vegetarian,20-30 min,It was okay.
1509,Old Town,Ahmedabad,200,4.5,5382,Pasta Alfredo,Non-Vegetarian,40-50 min,Standard quality.
1510,Business District,Bangalore,100,4.7,3339,Pho,Non-Vegetarian,50-60 min,Amazing taste and quick delivery.
1511,Downtown,Pune,800,4.0,3448,BBQ Ribs,Fast Food,40-50 min,Mediocre experience.
1512,Residential Area,Hyderabad,800,3.5,1833,Idli Sambar,Non-Vegetarian,40-50 min,A decent meal.
1513,Old Town,Mumbai,600,3.0,2709,Gulab Jamun,Gluten-Free,30-40 min,Average taste.
1514,Old Town,Pune,400,4.7,847,Pani Puri,Gluten-Free,50-60 min,Tasty and worth the price.
1515,City Center,Bangalore,200,4.7,9580,Pancakes,Fast Food,50-60 min,Not as described.
1516,Old Town,Delhi,400,3.0,3452,Tandoori Chicken,Vegetarian,50-60 min,Amazing taste and quick delivery.
1517,Tech Park,Kolkata,1000,3.5,7325,Tandoori Chicken,Vegan,40-50 min,Highly recommended!
1518,Suburb,Pune,600,3.0,4753,French Fries,Vegan,40-50 min,Mediocre experience.
1519,Old Town,Hyderabad,900,3.5,7790,Salmon Teriyaki,Vegetarian,20-30 min,Delicious and fresh.
1520,Residential Area,Mumbai,400,3.0,3194,Sushi,Healthy,30-40 min,Tasty and worth the price.
1521,Residential Area,Delhi,300,3.0,3514,Greek Salad,Healthy,20-30 min,Worst experience ever.
1522,Downtown,Mumbai,600,3.0,3719,Cheeseburger,Vegetarian,30-40 min,It was okay.
1523,Residential Area,Chennai,100,4.5,1333,BBQ Ribs,Vegan,20-30 min,Mediocre experience.
1524,Tech Park,Kolkata,900,5.0,374,Tandoori Chicken,Fast Food,40-50 min,Tasty and worth the price.
1525,Business District,Hyderabad,100,4.0,4861,Pancakes,Fast Food,50-60 min,Would order again if needed.
1526,Business District,Pune,500,4.2,874,Sushi,Fast Food,50-60 min,Amazing taste and quick delivery.
1527,City Center,Chennai,300,4.2,7467,Spring Rolls,Vegetarian,50-60 min,Not as described.
1528,Old Town,Hyderabad,200,3.0,5341,Poke Bowl,Vegan,30-40 min,Tasty and worth the price.
1529,Residential Area,Delhi,900,3.5,7114,Veg Biryani,Fast Food,40-50 min,Amazing taste and quick delivery.
1530,City Center,Pune,700,5.0,835,Smoothie Bowl,Non-Vegetarian,20-30 min,Standard quality.
1531,Downtown,Bangalore,900,4.7,5430,Ramen,Vegan,40-50 min,Amazing taste and quick delivery.
1532,Downtown,Chennai,800,3.5,9867,Pani Puri,Gluten-Free,20-30 min,Would order again if needed.
1533,Tech Park,Mumbai,700,3.5,4648,Samosa,Gluten-Free,30-40 min,"Good, but nothing extraordinary."
1534,Business District,Ahmedabad,500,4.2,999,Cold Coffee,Healthy,50-60 min,Tasty and worth the price.
1535,Residential Area,Kolkata,700,3.0,1950,Waffles,Non-Vegetarian,20-30 min,Late delivery ruined it.
1536,Downtown,Kolkata,900,3.5,1982,Pani Puri,Gluten-Free,50-60 min,Superb packaging and presentation.
1537,City Center,Delhi,900,5.0,2879,Brownie,Gluten-Free,30-40 min,Amazing taste and quick delivery.
1538,City Center,Ahmedabad,400,4.0,6554,French Fries,Healthy,50-60 min,Tasty and worth the price.
1539,Suburb,Kolkata,900,4.5,7258,Gulab Jamun,Non-Vegetarian,50-60 min,Disappointed.
1540,Business District,Chennai,200,3.0,9819,BBQ Ribs,Gluten-Free,40-50 min,Delicious and fresh.
1541,Business District,Bangalore,700,3.5,9175,Pasta Alfredo,Fast Food,40-50 min,Best meal I've had in a while!
1542,Business District,Bangalore,800,3.0,7581,Salmon Teriyaki,Fast Food,30-40 min,Mediocre experience.
1543,Downtown,Pune,500,4.5,1788,Idli Sambar,Vegan,50-60 min,Absolutely loved it!
1544,Residential Area,Kolkata,800,4.2,6026,Cold Coffee,Gluten-Free,20-30 min,Disappointed.
1545,Tech Park,Mumbai,1000,3.5,2573,Chicken Biryani,Non-Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
1546,Old Town,Hyderabad,800,4.5,314,Salmon Teriyaki,Healthy,50-60 min,Standard quality.
1547,Tech Park,Delhi,600,4.5,6413,Cold Coffee,Vegetarian,40-50 min,Not as described.
1548,Downtown,Delhi,400,4.5,6654,Dal Makhani,Gluten-Free,50-60 min,Not worth the price.
1549,City Center,Bangalore,700,3.0,6088,Ice Cream Sundae,Gluten-Free,40-50 min,Delicious and fresh.
1550,Downtown,Kolkata,500,4.0,8903,Samosa,Vegetarian,20-30 min,"Good, but nothing extraordinary."
1551,Business District,Hyderabad,500,4.5,939,BBQ Ribs,Vegan,40-50 min,Tasty and worth the price.
1552,Residential Area,Hyderabad,200,3.0,6650,Poke Bowl,Vegan,20-30 min,Superb packaging and presentation.
1553,Old Town,Pune,100,4.5,3149,Sushi,Vegan,40-50 min,Tasty and worth the price.
1554,Downtown,Hyderabad,100,3.0,2440,Waffles,Gluten-Free,20-30 min,Standard quality.
1555,City Center,Mumbai,200,4.5,5046,Dal Makhani,Vegetarian,20-30 min,My new favorite dish!
1556,Business District,Mumbai,800,4.0,5936,Choco Lava Cake,Gluten-Free,20-30 min,Standard quality.
1557,Old Town,Delhi,1000,3.5,8876,French Fries,Vegetarian,20-30 min,Highly recommended!
1558,Suburb,Ahmedabad,400,5.0,4476,Fruit Bowl,Vegetarian,40-50 min,Cold and stale food.
1559,Residential Area,Bangalore,400,3.0,6551,Pepperoni Pizza,Vegetarian,50-60 min,Nothing special but edible.
1560,Tech Park,Delhi,200,3.5,437,Butter Chicken,Vegetarian,30-40 min,Average taste.
1561,Tech Park,Chennai,100,4.2,3192,Dal Makhani,Fast Food,20-30 min,Perfectly cooked and well-seasoned.
1562,Business District,Chennai,500,3.5,7078,Salmon Teriyaki,Vegan,40-50 min,"Good, but nothing extraordinary."
1563,Tech Park,Kolkata,400,5.0,2569,Chow Mein,Non-Vegetarian,30-40 min,Delicious and fresh.
1564,Suburb,Hyderabad,900,4.7,3729,Falafel Wrap,Gluten-Free,20-30 min,Delicious and fresh.
1565,Business District,Hyderabad,1000,4.7,1400,Sushi,Fast Food,30-40 min,Late delivery ruined it.
1566,Downtown,Ahmedabad,400,3.5,4765,Gulab Jamun,Vegetarian,50-60 min,It was okay.
1567,Old Town,Pune,1000,4.7,8475,Dal Makhani,Fast Food,30-40 min,Highly recommended!
1568,Business District,Chennai,700,5.0,5889,Smoothie Bowl,Vegetarian,30-40 min,Superb packaging and presentation.
1569,Suburb,Ahmedabad,100,4.5,3538,Avocado Toast,Gluten-Free,40-50 min,Superb packaging and presentation.
1570,Business District,Kolkata,400,5.0,6403,Poke Bowl,Gluten-Free,30-40 min,Delicious and fresh.
1571,Downtown,Delhi,1000,3.5,8683,Burrito,Non-Vegetarian,30-40 min,Neither great nor bad.
1572,Downtown,Pune,500,3.5,6161,Dal Makhani,Healthy,40-50 min,Amazing taste and quick delivery.
1573,Residential Area,Ahmedabad,1000,4.0,6355,Butter Chicken,Vegetarian,30-40 min,Cold and stale food.
1574,Old Town,Chennai,700,3.5,5021,Cheeseburger,Vegan,50-60 min,Too spicy and oily.
1575,Old Town,Delhi,100,4.0,3642,Tandoori Chicken,Vegan,40-50 min,Superb packaging and presentation.
1576,Business District,Ahmedabad,500,5.0,5730,Samosa,Non-Vegetarian,20-30 min,Neither great nor bad.
1577,Business District,Ahmedabad,300,3.0,3264,Poke Bowl,Vegan,30-40 min,Neither great nor bad.
1578,Downtown,Ahmedabad,1000,4.7,4641,Falafel Wrap,Healthy,20-30 min,Best meal I've had in a while!
1579,Business District,Delhi,700,4.7,5072,Mango Shake,Fast Food,30-40 min,Too spicy and oily.
1580,Old Town,Hyderabad,200,4.7,2076,Waffles,Fast Food,40-50 min,Highly recommended!
1581,Suburb,Kolkata,100,4.5,8833,Chicken Wings,Healthy,50-60 min,Highly recommended!
1582,City Center,Kolkata,600,4.0,3575,Idli Sambar,Non-Vegetarian,30-40 min,Too spicy and oily.
1583,Business District,Hyderabad,800,4.0,1824,Falafel Wrap,Vegan,30-40 min,Superb packaging and presentation.
1584,Old Town,Mumbai,400,4.0,2771,Mango Shake,Healthy,40-50 min,Average taste.
1585,Suburb,Bangalore,1000,3.0,5228,Dal Makhani,Fast Food,50-60 min,Absolutely loved it!
1586,Business District,Delhi,800,4.0,494,Pepperoni Pizza,Gluten-Free,40-50 min,Disappointed.
1587,City Center,Ahmedabad,100,4.2,3462,BBQ Ribs,Fast Food,50-60 min,Standard quality.
1588,Business District,Mumbai,400,3.5,5730,Pepperoni Pizza,Non-Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
1589,Business District,Bangalore,300,3.5,8302,Veg Biryani,Fast Food,50-60 min,Not as described.
1590,Residential Area,Kolkata,1000,4.0,1522,Poke Bowl,Vegan,30-40 min,Terrible taste!
1591,Downtown,Pune,500,5.0,714,Chicken Wings,Vegetarian,30-40 min,Tasty and worth the price.
1592,Business District,Hyderabad,600,4.7,4634,Sushi,Gluten-Free,50-60 min,Highly recommended!
1593,Business District,Chennai,600,4.5,8081,Mango Shake,Vegetarian,30-40 min,Cold and stale food.
1594,City Center,Bangalore,900,4.5,2774,Shawarma,Non-Vegetarian,50-60 min,Highly recommended!
1595,Downtown,Delhi,300,3.0,6622,Ice Cream Sundae,Healthy,50-60 min,Standard quality.
1596,Suburb,Mumbai,800,4.5,6790,Dal Makhani,Gluten-Free,40-50 min,"Good, but nothing extraordinary."
1597,Old Town,Bangalore,600,3.5,9782,Steak,Vegetarian,40-50 min,Superb packaging and presentation.
